3453,2,16,16
3453,3,16,16
3463,0,0,0
3463,1,9,9
3463,2,18,18
3463,3,27,27
3468,0,0,0
3468,1,300,300
3468,2,300,300
3468,3,300,300
3472,0,150,150
3472,1,100,100
3472,2,50,50
3472,3,0,0
3473,0,0,0
3473,1,9,9
3473,2,18,18
3473,3,27,27
3474,0,0,0
3474,1,68,68
3474,2,76,76
3474,3,134,134
3475,0,0,0
3475,1,12,12
3475,2,24,24
3475,3,36,36
3493,0,0,0
3493,1,12,12
3493,2,24,24
3493,3,36,36
3494,0,320,320
3494,1,50,50
3494,2,50,50
3494,3,50,50
3506,0,0,0
3506,1,15,15
3506,2,30,30
3506,3,50,50
3509,0,20,20
3509,1,50,50
3509,2,50,50
3509,3,90,90
3524,0,40,40
3524,1,60,60
3524,2,60,60
3524,3,120,120
3530,0,0,0
3530,1,112,112
3530,2,208,208
3530,3,275,275
3531,0,526,526
3531,1,341,341
3531,2,200,200
3531,3,73,73
3535,0,0,0
3535,1,30,30
3535,2,60,60
3535,3,100,100
3539,0,0,0
3539,1,20,20
3539,2,20,20
3539,3,20,20
3541,0,30,30
3541,1,30,30
3541,2,30,30
3541,3,30,30
3578,0,0,0
3578,1,100,100
3578,2,100,100
3578,3,100,100
3579,0,0,0
3579,1,18,18
3579,2,30,30
3579,3,42,42
3614,0,0,0
3614,1,15,15
